time,open,high,low,close,volume
1780444800,420.0,420.0,420.0,420.0,0
1780531200,450.0,450.0,450.0,450.0,0
1780617600,400.0,400.0,400.0,400.0,0
1780876800,418.0,418.0,418.0,418.0,0
1780963200,396.0,396.0,396.0,396.0,0
1781049600,420.0,420.0,420.0,420.0,0
1781136000,380.0,380.0,380.0,380.0,0
1781222400,422.0,422.0,422.0,422.0,0
1781481600,398.0,398.0,398.0,398.0,0
1781568000,420.0,420.0,420.0,420.0,0
1781654400,408.0,408.0,408.0,408.0,0
1781740800,450.0,450.0,450.0,450.0,0
1781827200,408.0,408.0,408.0,408.0,0
1782086400,408.0,408.0,408.0,408.0,0
1782172800,404.0,404.0,404.0,404.0,0
1782259200,402.0,402.0,402.0,402.0,0
1782345600,432.0,432.0,432.0,432.0,0
1782432000,384.0,384.0,384.0,384.0,0
1782691200,392.0,392.0,392.0,392.0,0
1782777600,370.0,370.0,370.0,370.0,0
1782864000,368.0,368.0,368.0,368.0,0
1782950400,386.0,386.0,386.0,386.0,0
1783036800,370.0,370.0,370.0,370.0,0
1783296000,370.0,370.0,370.0,370.0,0
1783382400,394.0,394.0,394.0,394.0,0
1783468800,372.0,372.0,372.0,372.0,0
1783555200,416.0,416.0,416.0,416.0,0
1783641600,398.0,398.0,398.0,398.0,0
